Genome accession,Genus,Species,Strain,Replicon_1,Replicon_2,Replicon_3,Replicon_4,Replicon_5,Replicon_6,Replicon_7,Replicon_8,Replicon_9,Replicon_10,Replicon_11,Replicon_12,Replicon_13,Replicon_14,Replicon_15,Replicon_16,Replicon_17,Replicon_18,Replicon_19,Replicon_20,Replicon_21,Replicon_22,Replicon_23
GCF_003076415.1_ASM307641v1,Burkholderia,cenocepacia,PC184_Mulks,"66,74","66,94","67,16",,,,,,,,,,,,,,,,,,,,
GCF_003966315.1_ASM396631v1,Burkholderia,cenocepacia,YG-3,"67,05","66,72","66,41",,,,,,,,,,,,,,,,,,,,
GCF_014211915.1_ASM1421191v1,Burkholderia,cenocepacia,PS27,"66,86","67,16","67,31","61,67",,,,,,,,,,,,,,,,,,,
GCF_014357995.1_ASM1435799v1,Burkholderia,cenocepacia,K56-2,"66,89","67,29","66,92","62,76",,,,,,,,,,,,,,,,,,,
GCF_000755805.1_ASM75580v1,Burkholderia,cepacia,DDS_7H-2,"66,96","67,33","66,59",,,,,,,,,,,,,,,,,,,,
GCF_001718395.1_ASM171839v1,Burkholderia,cepacia,INT3-BP177,"66,66","66,97",,,,,,,,,,,,,,,,,,,,,
GCF_001718835.1_ASM171883v1,Burkholderia,cepacia,MSMB1184WGS,"66,7","66,04","66,39",,,,,,,,,,,,,,,,,,,,
GCF_002209085.2_ASM220908v2,Burkholderia,cepacia,FDAARGOS_345,"66,49","67,04","66,44","62,2",,,,,,,,,,,,,,,,,,,
GCF_021484945.1_ASM2148494v1,Burkholderia,cepacia,CMCC(B)23005,"66,5","67,13","66,11",,,,,,,,,,,,,,,,,,,,
GCF_023374475.1_ASM2337447v1,Burkholderia,cepacia,2017Y70952565VI,"66,61","66,74",,,,,,,,,,,,,,,,,,,,,
GCF_904865725.1_MINF_4A,Burkholderia,cepacia,,"66,73","67,64","67,79","61,82",,,,,,,,,,,,,,,,,,,
GCF_001029145.1_ASM102914v1,Burkholderia,contaminans,MS14,"66,89","66,29","65,45",,,,,,,,,,,,,,,,,,,,
GCF_003704285.1_ASM370428v1,Burkholderia,contaminans,FL-1-2-30-S1-D0,"66,35","66,93","66,05",,,,,,,,,,,,,,,,,,,,
GCF_007724625.1_ASM772462v1,Burkholderia,contaminans,ZCC,"66,02","66,71","65,77","61,99","58,91",,,,,,,,,,,,,,,,,,
GCF_009191525.1_ASM919152v1,Burkholderia,contaminans,SK875,"66,4","66,71","65,8","61,74",,,,,,,,,,,,,,,,,,,
GCF_001718315.1_ASM171831v1,Burkholderia,diffusa,RF2-non-BP9,"66,54","66,48","66,19",,,,,,,,,,,,,,,,,,,,
GCF_003813045.1_ASM381304v1,Burkholderia,dolosa,FDAARGOS_562,"66,86","67,28","66,92",,,,,,,,,,,,,,,,,,,,
GCF_019930785.1_ASM1993078v1,Burkholderia,dolosa,FDAARGOS_1463,"66,85","67,28","66,15",,,,,,,,,,,,,,,,,,,,
GCF_000194745.1_ASM19474v1,Burkholderia,gladioli,BSR3,"67,48","68,58","62,37","63,28","62,82","59,61",,,,,,,,,,,,,,,,,
GCF_000959725.1_ASM95972v1,Burkholderia,gladioli,ATCC_10248,"67,32","68,49","61,45",60,"61,01",,,,,,,,,,,,,,,,,,
GCF_003713105.1_ASM371310v1,Burkholderia,gladioli,Co14,"67,82","68,32","63,25",,,,,,,,,,,,,,,,,,,,
GCF_014263355.1_ASM1426335v1,Burkholderia,gladioli,CGB10,"67,97","68,42","62,27",,,,,,,,,,,,,,,,,,,,
GCF_016698705.1_ASM1669870v1,Burkholderia,gladioli,BBB-01,"67,97","68,62","64,24",,,,,,,,,,,,,,,,,,,,
GCF_023658595.1_ASM2365859v1,Burkholderia,gladioli,BK04,"67,95","68,6",,,,,,,,,,,,,,,,,,,,,
GCF_000022645.2_ASM2264v1,Burkholderia,glumae,BGR1,"68,11","68,77","63,21","62,68","62,71","60,59",,,,,,,,,,,,,,,,,
GCF_009578005.1_ASM957800v1,Burkholderia,glumae,GX,"68,1","68,99","61,42","62,12","64,28",,,,,,,,,,,,,,,,,,
GCF_009857095.1_ASM985709v1,Burkholderia,glumae,AU6208,"68,35","68,84","61,54",,,,,,,,,,,,,,,,,,,,
GCF_009931375.1_ASM993137v1,Burkholderia,glumae,257sh-1,"68,34","68,89","62,47","61,92",,,,,,,,,,,,,,,,,,,
GCF_012974245.1_ASM1297424v1,Burkholderia,glumae,HN1,"68,05","68,57","60,8","63,29","61,41",,,,,,,,,,,,,,,,,,
GCF_013122645.1_ASM1312264v1,Burkholderia,glumae,HN2,"68,33","68,99","62,17",,,,,,,,,,,,,,,,,,,,
GCF_024022955.1_ASM2402295v1,Burkholderia,glumae,GR20004,"68,06","68,64","60,85","62,95","62,81",,,,,,,,,,,,,,,,,,
GCF_016027455.1_ASM1602745v1,Burkholderia,humptydooensis,FDAARGOS_899,"66,9","67,71","64,89",,,,,,,,,,,,,,,,,,,,
GCF_000012945.1_ASM1294v1,Burkholderia,lata,383,"66,21","66,73","65,27",,,,,,,,,,,,,,,,,,,,
GCF_001718575.1_ASM171857v1,Burkholderia,lata,FL-7-5-30-S1-D0,"66,57","66,45","66,46",,,,,,,,,,,,,,,,,,,,
GCF_003711145.1_ASM371114v1,Burkholderia,lata,A05,"66,26","66,51","64,88",,,,,,,,,,,,,,,,,,,,
GCF_001718795.1_ASM171879v1,Burkholderia,latens,AU17928,"66,27","66,5","66,61","62,76",,,,,,,,,,,,,,,,,,,
GCF_017815595.1_ASM1781559v1,Burkholderia,latens,AU0505,"66,44","66,19","60,05",,,,,,,,,,,,,,,,,,,,
GCF_000015465.1_ASM1546v1,Burkholderia,mallei,SAVP1,"68,15","68,92",,,,,,,,,,,,,,,,,,,,,
GCF_000755785.1_ASM75578v1,Burkholderia,mallei,FMH_23344,"68,16","68,99",,,,,,,,,,,,,,,,,,,,,
GCF_000755845.1_ASM75584v1,Burkholderia,mallei,6,"68,16","68,89",,,,,,,,,,,,,,,,,,,,,
GCF_000959485.1_ASM95948v1,Burkholderia,mallei,2002734306,"68,18","68,66",,,,,,,,,,,,,,,,,,,,,
GCF_002346185.1_ASM234618v1,Burkholderia,mallei,Turkey9,"68,32","68,61",,,,,,,,,,,,,,,,,,,,,
GCF_001522635.2_ASM152263v2,Burkholderia,mayonis,BDU8,"66,31","66,7",,,,,,,,,,,,,,,,,,,,,
GCF_001523745.2_ASM152374v2,Burkholderia,mayonis,BDU6,"66,36","66,1",,,,,,,,,,,,,,,,,,,,,
GCF_001718555.1_ASM171855v1,Burkholderia,metallica,FL-6-5-30-S1-D7,"66,97","67,36","66,67",,,,,,,,,,,,,,,,,,,,
GCF_000756005.1_ASM75600v1,Burkholderia,multivorans,DDS_15A-1,"66,76","67,03","65,1",,,,,,,,,,,,,,,,,,,,
GCF_001718755.1_ASM171875v1,Burkholderia,multivorans,AU1185,"66,6","67,09","67,6",,,,,,,,,,,,,,,,,,,,
GCF_001718995.1_ASM171899v1,Burkholderia,multivorans,MSMB1640WGS,"66,9","67,19","66,11",,,,,,,,,,,,,,,,,,,,
GCF_003019965.1_ASM301996v1,Burkholderia,multivorans,FDAARGOS_246,"66,94","67,55","67,79",,,,,,,,,,,,,,,,,,,,
GCF_003812365.1_ASM381236v1,Burkholderia,multivorans,FDAARGOS_547,"67,02","67,59","67,57",,,,,,,,,,,,,,,,,,,,
GCF_003812585.1_ASM381258v1,Burkholderia,multivorans,FDAARGOS_548,"66,91","67,5","66,11",,,,,,,,,,,,,,,,,,,,
GCF_009730175.1_ASM973017v1,Burkholderia,multivorans,FDAARGOS_726,"67,08","67,63","67,25",,,,,,,,,,,,,,,,,,,,
GCF_009730195.1_ASM973019v1,Burkholderia,multivorans,FDAARGOS_722,"66,92","67,51","66,62",,,,,,,,,,,,,,,,,,,,
GCF_023374575.1_ASM2337457v1,Burkholderia,multivorans,2015Y70629342III,"66,6","67,36","67,34",,,,,,,,,,,,,,,,,,,,
GCF_023374655.1_ASM2337465v1,Burkholderia,multivorans,2014Y70439247,"66,98","67,35","67,73",,,,,,,,,,,,,,,,,,,,
GCF_023374895.1_ASM2337489v1,Burkholderia,multivorans,2007Ycf875II,"66,95","67,47",,,,,,,,,,,,,,,,,,,,,
GCF_000755985.1_ASM75598v1,Burkholderia,oklahomensis,EO147,"66,9","66,97",,,,,,,,,,,,,,,,,,,,,
GCF_000835205.1_ASM83520v1,Burkholderia,plantarii,PG1,"68,36","69,23",,,,,,,,,,,,,,,,,,,,,
GCF_001411805.1_ASM141180v1,Burkholderia,plantarii,ATCC_43733,"68,35","69,1","62,44",,,,,,,,,,,,,,,,,,,,
GCF_000755765.1_ASM75576v1,Burkholderia,pseudomallei,BDP,"67,82","67,98",,,,,,,,,,,,,,,,,,,,,
GCF_000755825.1_ASM75582v1,Burkholderia,pseudomallei,BSR,"67,81","68,43",,,,,,,,,,,,,,,,,,,,,
GCF_000770565.1_ASM77056v1,Burkholderia,pseudomallei,TSV202,"67,53","68,17","60,45","61,93",,,,,,,,,,,,,,,,,,,
GCF_002111125.1_ASM211112v1,Burkholderia,pseudomallei,2008724860,"67,81","68,4","60,95",,,,,,,,,,,,,,,,,,,,
GCF_017378155.1_ASM1737815v1,Burkholderia,pseudomallei,VBM21822,"67,8","68,08","63,21",,,,,,,,,,,,,,,,,,,,
GCF_017378235.1_ASM1737823v1,Burkholderia,pseudomallei,VBM23831,"67,86","68,24","61,26",,,,,,,,,,,,,,,,,,,,
GCF_018228345.1_ASM1822834v1,Burkholderia,pseudomallei,WC19,"68,05","68,45","57,9",,,,,,,,,,,,,,,,,,,,
GCF_018771365.1_ASM1877136v1,Burkholderia,pseudomallei,VBP21822,"67,8","68,03","69,73","70,89",,,,,,,,,,,,,,,,,,,
GCF_001718415.1_ASM171841v1,Burkholderia,pseudomultivorans,SUB-INT23-BP2,"67,32","67,5","60,97",,,,,,,,,,,,,,,,,,,,
GCF_001028665.1_ASM102866v1,Burkholderia,pyrrocinia,DSM_10685,"66,78","66,5","65,68","62,32",,,,,,,,,,,,,,,,,,,
GCF_003330765.1_ASM333076v1,Burkholderia,pyrrocinia,mHSR5,"66,39","66,4","65,83",,,,,,,,,,,,,,,,,,,,
GCF_018417535.1_ASM1841753v1,Burkholderia,pyrrocinia,Hargis,"66,43","66,61","65,44",,,,,,,,,,,,,,,,,,,,
GCF_022809715.1_ASM2280971v1,Burkholderia,pyrrocinia,JK-SH007,"66,78","66,54","66,31",,,,,,,,,,,,,,,,,,,,
GCF_001524445.2_ASM152444v2,Burkholderia,savannae,MSMB0266,"67,15","67,74","60,84",,,,,,,,,,,,,,,,,,,,
GCF_001524625.2_ASM152462v2,Burkholderia,savannae,MSMB0852,"67,31","67,52","59,76",,,,,,,,,,,,,,,,,,,,
GCF_000705535.2_ASM70553v2,Burkholderia,seminalis,869T2,"67,07","67,59","65,77",,,,,,,,,,,,,,,,,,,,
GCF_001718535.1_ASM171853v1,Burkholderia,seminalis,FL-5-4-10-S1-D7,"67,11","67,53","67,23",,,,,,,,,,,,,,,,,,,,
GCF_000262695.1_ASM26269v1,Burkholderia,sp.,KJ006,"67,29","67,1","67,36","59,08",,,,,,,,,,,,,,,,,,,
GCF_000959325.1_ASM95932v1,Burkholderia,sp.,2002721687,"66,9","67,71","64,89",,,,,,,,,,,,,,,,,,,,
GCF_001522585.2_ASM152258v2,Burkholderia,sp.,NRF60-BP8,"67,12","67,3","67,82",,,,,,,,,,,,,,,,,,,,
GCF_001523915.2_ASM152391v2,Burkholderia,sp.,LA-2-3-30-S1-D2,"66,31","66,57","65,81",,,,,,,,,,,,,,,,,,,,
GCF_001524645.2_ASM152464v2,Burkholderia,sp.,MSMB0856,"66,6","67,2","65,65","61,42",,,,,,,,,,,,,,,,,,,
GCF_001532025.2_ASM153202v2,Burkholderia,sp.,MSMB617WGS,"67,27","67,82",,,,,,,,,,,,,,,,,,,,,
GCF_001557535.2_ASM155753v2,Burkholderia,sp.,PAMC_26561,"60,2","60,44","60,19","56,16","56,16","57,29","56,16","56,08",,,,,,,,,,,,,,,
GCF_001577465.1_ASM157746v1,Burkholderia,sp.,PAMC_28687,"60,13","60,19","60,27","57,06","57,39","57,33","56,44","56,31",,,,,,,,,,,,,,,
GCF_001718875.1_ASM171887v1,Burkholderia,sp.,MSMB0175,"65,09","63,11",,,,,,,,,,,,,,,,,,,,,
GCF_003233675.1_ASM323367v1,Burkholderia,sp.,JP2-270,"66,43","66,29","65,4","61,46","58,42",,,,,,,,,,,,,,,,,,
GCF_003366075.1_ASM336607v1,Burkholderia,sp.,IDO3,"66,42",67,"66,33","61,57",,,,,,,,,,,,,,,,,,,
GCF_005280735.1_ASM528073v1,Burkholderia,sp.,DHOD12,"63,41","62,73","60,44",,,,,,,,,,,,,,,,,,,,
GCF_005937855.2_ASM593785v2,Burkholderia,sp.,KBS0801,"66,68","66,73","66,25",,,,,,,,,,,,,,,,,,,,
GCF_013822785.1_ASM1382278v1,Burkholderia,sp.,MBR-1,"67,03","67,47","66,9","60,89","61,23",,,,,,,,,,,,,,,,,,
GCF_016899425.1_ASM1689942v1,Burkholderia,sp.,MS389,"66,85","66,6","66,69",,,,,,,,,,,,,,,,,,,,
GCF_016899445.1_ASM1689944v1,Burkholderia,sp.,MS455,"66,79","65,5","66,23","61,29",,,,,,,,,,,,,,,,,,,
GCF_001742165.1_ASM174216v1,Burkholderia,stabilis,ATCC_BAA-67,"66,35","66,88","65,49",,,,,,,,,,,,,,,,,,,,
GCF_002356275.1_ASM235627v1,Burkholderia,stabilis,FERMP-21014,"66,88","66,94","65,22",,,,,,,,,,,,,,,,,,,,
GCF_001718955.1_ASM171895v1,Burkholderia,stagnalis,MSMB735WGS,"67,66","67,56","67,94",,,,,,,,,,,,,,,,,,,,
GCF_001718335.1_ASM171833v1,Burkholderia,territorii,RF8-non-BP5,"66,67","66,99","66,35",,,,,,,,,,,,,,,,,,,,
GCF_000808035.2_ASM80803v2,Burkholderia,thailandensis,2003015869,"67,35","68,1",,,,,,,,,,,,,,,,,,,,,
GCF_000959605.1_ASM95960v1,Burkholderia,thailandensis,34,"67,25","68,15","64,41",,,,,,,,,,,,,,,,,,,,
GCF_001718635.1_ASM171863v1,Burkholderia,thailandensis,2002721643,"67,25","68,15","62,02",,,,,,,,,,,,,,,,,,,,
GCF_016774495.1_ASM1677449v1,Burkholderia,thailandensis,AW34-19p,"67,21","68,24","62,81",,,,,,,,,,,,,,,,,,,,
GCF_000959245.1_ASM95924v1,Burkholderia,ubonensis,MSMB22,"67,5","67,3","66,58",,,,,,,,,,,,,,,,,,,,
GCF_001718355.1_ASM171835v1,Burkholderia,ubonensis,RF23-BP41,"67,39","67,2","66,75","62,13",,,,,,,,,,,,,,,,,,,
GCF_001718655.1_ASM171865v1,Burkholderia,ubonensis,MSMB2035,"67,06","67,12","61,05",,,,,,,,,,,,,,,,,,,,
GCF_001718695.1_ASM171869v1,Burkholderia,ubonensis,MSMB0783,"67,25","67,87","66,64",,,,,,,,,,,,,,,,,,,,
GCF_001718855.1_ASM171885v1,Burkholderia,ubonensis,MSMB1189WGS,"67,3","66,32","66,46",,,,,,,,,,,,,,,,,,,,
GCF_001718975.1_ASM171897v1,Burkholderia,ubonensis,MSMB1471WGS,"67,56","67,3","66,89","58,78",,,,,,,,,,,,,,,,,,,
GCF_002097715.1_ASM209771v1,Burkholderia,ubonensis,ATCC_31433,"67,48","66,89","66,68","62,1",,,,,,,,,,,,,,,,,,,
GCF_001718495.1_ASM171849v1,Burkholderia,vietnamiensis,FL-2-3-30-S1-D0,"67,17","67,17","67,56",,,,,,,,,,,,,,,,,,,,
GCF_001718815.1_ASM171881v1,Burkholderia,vietnamiensis,HI2297,"66,87","67,57","66,68",,,,,,,,,,,,,,,,,,,,
GCF_022213445.1_ASM2221344v1,Burkholderia,vietnamiensis,FDAARGOS_721,"66,87","67,24","67,65","62,38",,,,,,,,,,,,,,,,,,,
GCF_023373725.1_ASM2337372v1,Burkholderia,vietnamiensis,2003Ycf867,"67,11","67,42","67,28","61,32",,,,,,,,,,,,,,,,,,,
GCF_022879615.1_ASM2287961v1,Caballeronia,grimmiae,Lep1A1,"63,45","63,39","63,19","62,78","57,74","60,63","60,18","66,22",,,,,,,,,,,,,,,
GCF_000402035.1_ASM40203v1,Caballeronia,insecticola,RPE64,"63,51","63,4","63,01","62,82","60,11",,,,,,,,,,,,,,,,,,
GCF_011039955.1_ASM1103995v1,Caballeronia,sp.,SBC2,"59,8","59,7","59,95","58,02","59,13","57,03","56,46","56,69",,,,,,,,,,,,,,,
GCF_017220215.1_ASM1722021v1,Caballeronia,sp.,M1242,"64,09","63,56","63,58","63,97",,,,,,,,,,,,,,,,,,,
GCF_022879575.1_ASM2287957v1,Caballeronia,sp.,SL2Y3,"64,29","64,07","63,94","63,64","56,57",,,,,,,,,,,,,,,,,,
GCF_022879595.1_ASM2287959v1,Caballeronia,sp.,Lep1P3,"63,99","63,85","64,2","63,58","60,37","59,88",,,,,,,,,,,,,,,,,
GCF_023170545.1_ASM2317054v1,Caballeronia,sp.,Sq4a,"64,1","64,04","63,44","63,77","57,7",,,,,,,,,,,,,,,,,,
GCF_022879815.1_ASM2287981v1,Caballeronia,zhejiangensis,A33_M4_a,"63,21","63,63","63,32","62,94","59,98","63,56","58,37",,,,,,,,,,,,,,,,
GCF_001042715.1_ASM104271v1,Clostridium,aceticum,DSM_1496,"35,29","31,72",,,,,,,,,,,,,,,,,,,,,
GCF_000008765.1_ASM876v1,Clostridium,acetobutylicum,ATCC_824,"30,93","30,91",,,,,,,,,,,,,,,,,,,,,
GCF_000218855.1_ASM21885v1,Clostridium,acetobutylicum,DSM_1731,"30,93","30,91","25,92",,,,,,,,,,,,,,,,,,,,
GCF_002074155.1_ASM207415v1,Clostridium,argentinense,89G,"28,85","26,72",,,,,,,,,,,,,,,,,,,,,
GCF_002006235.2_ASM200623v2,Clostridium,aurantibutyricum,DSM_793,"30,06","30,01","60,61",,,,,,,,,,,,,,,,,,,,
GCF_000484505.2_ASM48450v2,Clostridium,autoethanogenum,DSM_10061,"31,09","28,19",,,,,,,,,,,,,,,,,,,,,
GCF_000789395.1_ASM78939v1,Clostridium,baratii,Sullivan,"28,29","27,57",,,,,,,,,,,,,,,,,,,,,
GCF_001991075.2_ASM199107v2,Clostridium,baratii,CDC51267,"28,39","25,26",,,,,,,,,,,,,,,,,,,,,
GCF_018223745.1_ASM1822374v1,Clostridium,beijerinckii,DSM_791,"29,9","27,84",,,,,,,,,,,,,,,,,,,,,
GCF_900010805.1_C._beijerinckii_DSM_6423,Clostridium,beijerinckii,,"29,81","28,39","29,7",,,,,,,,,,,,,,,,,,,,
GCF_000577895.1_M2_40,Clostridium,bornimense,type_strain:_M2/40,"29,78","28,09",,,,,,,,,,,,,,,,,,,,,
GCF_000019305.1_ASM1930v1,Clostridium,botulinum,Okra,"28,34","25,36",,,,,,,,,,,,,,,,,,,,,
GCF_000020165.1_ASM2016v1,Clostridium,botulinum,Eklund_17B,"27,51","24,95",,,,,,,,,,,,,,,,,,,,,
GCF_000789355.1_ASM78935v1,Clostridium,botulinum,202F,"27,42","28,4",,,,,,,,,,,,,,,,,,,,,
GCF_001879625.1_ASM187962v1,Clostridium,botulinum,CDC_67190,"28,2","28,78","25,62",,,,,,,,,,,,,,,,,,,,
GCF_001889365.1_ASM188936v1,Clostridium,botulinum,CDC_54064,"28,24","25,09",,,,,,,,,,,,,,,,,,,,,
GCF_001921905.1_ASM192190v1,Clostridium,botulinum,F1425,"28,19","26,49",,,,,,,,,,,,,,,,,,,,,
GCF_001921945.1_ASM192194v1,Clostridium,botulinum,AM282,"28,17","25,56",,,,,,,,,,,,,,,,,,,,,
GCF_001921965.1_ASM192196v1,Clostridium,botulinum,F160,"28,2","26,05",,,,,,,,,,,,,,,,,,,,,
GCF_001921985.1_ASM192198v1,Clostridium,botulinum,F634,"28,2","25,57","25,06","23,94",,,,,,,,,,,,,,,,,,,
GCF_002865825.1_ASM286582v1,Clostridium,botulinum,A634,"28,17","25,12","26,15",,,,,,,,,,,,,,,,,,,,
GCF_002865845.1_ASM286584v1,Clostridium,botulinum,Af650,"28,23","27,97",,,,,,,,,,,,,,,,,,,,,
GCF_002865885.1_ASM286588v1,Clostridium,botulinum,B305,"28,22","25,3","26,53",,,,,,,,,,,,,,,,,,,,
GCF_002866045.1_ASM286604v1,Clostridium,botulinum,BrDura,"28,32","25,56",,,,,,,,,,,,,,,,,,,,,
GCF_002866125.1_ASM286612v1,Clostridium,botulinum,B515,"28,16","29,21","25,28","26,49",,,,,,,,,,,,,,,,,,,
GCF_003345335.1_ASM334533v1,Clostridium,botulinum,CFSAN034200,"28,25","25,6","24,06",,,,,,,,,,,,,,,,,,,,
GCF_009733885.1_ASM973388v1,Clostridium,botulinum,NCTC_13319,"28,24","26,8",,,,,,,,,,,,,,,,,,,,,
GCF_014068615.1_ASM1406861v1,Clostridium,botulinum,CJ0611A1,"28,18","25,62",,,,,,,,,,,,,,,,,,,,,
GCF_016071375.1_ASM1607137v1,Clostridium,botulinum,Stockholm,"27,98","26,28","26,8","27,43","25,36","24,5",,,,,,,,,,,,,,,,,
GCF_017100085.1_ASM1710008v1,Clostridium,botulinum,BKT2873,"28,57","26,06","26,31",,,,,,,,,,,,,,,,,,,,
GCF_022833145.1_ASM2283314v1,Clostridium,botulinum,ST7B,"28,16","27,65",,,,,,,,,,,,,,,,,,,,,
GCF_001456065.2_ASM145606v2,Clostridium,butyricum,KNU-L09,"28,83","28,3",,,,,,,,,,,,,,,,,,,,,
GCF_001465175.1_ASM146517v1,Clostridium,butyricum,JKY6D1,"28,82","28,31","27,43",,,,,,,,,,,,,,,,,,,,
GCF_001886875.1_ASM188687v1,Clostridium,butyricum,CDC_51208,"28,81","28,18","26,82",,,,,,,,,,,,,,,,,,,,
GCF_009650315.1_ASM965031v1,Clostridium,butyricum,CFSA3987,"28,88","28,51",,,,,,,,,,,,,,,,,,,,,
GCF_018140655.1_ASM1814065v1,Clostridium,butyricum,CBUT,"28,89","28,2",,,,,,,,,,,,,,,,,,,,,
GCF_020911725.1_ASM2091172v1,Clostridium,cadaveris,IFB3C5,"31,72","28,53","28,68",,,,,,,,,,,,,,,,,,,,
GCF_001038625.1_ASM103862v1,Clostridium,carboxidivorans,P7,"29,94","27,53",,,,,,,,,,,,,,,,,,,,,
GCF_002327205.1_ASM232720v1,Clostridium,chauvoei,12S0467,"28,29","27,05",,,,,,,,,,,,,,,,,,,,,
GCF_001877035.1_ASM187703v1,Clostridium,estertheticum,DSM_8809,"30,92","27,2",,,,,,,,,,,,,,,,,,,,,
GCF_002006355.2_ASM200635v2,Clostridium,felsineum,DSM_794,"30,08","30,15","26,45",,,,,,,,,,,,,,,,,,,,
GCF_017348895.1_ASM1734889v1,Clostridium,gasigenes,CGAS001,"29,04","26,77","25,78","24,42","22,73","28,51",,,,,,,,,,,,,,,,,
GCF_000016505.1_ASM1650v1,Clostridium,kluyveri,DSM_555,"32,02","33,37",,,,,,,,,,,,,,,,,,,,,
GCF_001902295.1_ASM190229v1,Clostridium,kluyveri,JZZ,"31,56","32,75",,,,,,,,,,,,,,,,,,,,,
GCF_003614235.1_ASM361423v1,Clostridium,novyi,150557,"27,94","26,32","25,55",,,,,,,,,,,,,,,,,,,,
GCF_000389635.1_ASM38963v1,Clostridium,pasteurianum,BC1,"30,58","28,94",,,,,,,,,,,,,,,,,,,,,
GCF_001304735.1_ASM130473v1,Clostridium,perfringens,FORC_003,"28,43","27,28",,,,,,,,,,,,,,,,,,,,,
GCF_001579765.1_ASM157976v1,Clostridium,perfringens,JP55,"28,38","25,37","24,72","24,57","26,2","26,97",,,,,,,,,,,,,,,,,
GCF_001579785.1_ASM157978v1,Clostridium,perfringens,JP838,"28,38","24,74","25,4","26,6","27,67",,,,,,,,,,,,,,,,,,
GCF_002312985.1_ASM231298v1,Clostridium,perfringens,LLY_N11,"28,5","26,36","26,19","26,07",,,,,,,,,,,,,,,,,,,
GCF_002355795.1_ASM235579v1,Clostridium,perfringens,CBA7123,"28,54","27,09",,,,,,,,,,,,,,,,,,,,,
GCF_003203455.1_ASM320345v1,Clostridium,perfringens,EHE-NE18,"28,35","25,71","25,55","27,59",,,,,,,,,,,,,,,,,,,
GCF_016026675.1_ASM1602667v1,Clostridium,perfringens,FDAARGOS_931,"28,42","26,53","24,07",,,,,,,,,,,,,,,,,,,,
GCF_016027155.1_ASM1602715v1,Clostridium,perfringens,FDAARGOS_904,"28,36","25,49","25,31",,,,,,,,,,,,,,,,,,,,
GCF_018135545.1_ASM1813554v1,Clostridium,perfringens,19TSBNCP,"28,55","30,76","26,12","24,89",,,,,,,,,,,,,,,,,,,
GCF_020138335.1_ASM2013833v1,Clostridium,perfringens,CPS_2a,"28,54","26,29",,,,,,,,,,,,,,,,,,,,,
GCF_020138355.1_ASM2013835v1,Clostridium,perfringens,CPN_17a,"28,43","27,54","26,88",,,,,,,,,,,,,,,,,,,,
GCF_020138375.1_ASM2013837v1,Clostridium,perfringens,CPM_77b,"28,43","26,57","25,38","26,71",,,,,,,,,,,,,,,,,,,
GCF_020138395.1_ASM2013839v1,Clostridium,perfringens,CPLi_6-1,"28,44","26,57","25,38","23,88","25,54",,,,,,,,,,,,,,,,,,
GCF_020138435.1_ASM2013843v1,Clostridium,perfringens,CPI_75-1,"28,41","25,53","25,52","25,78","25,66",,,,,,,,,,,,,,,,,,
GCF_020138475.1_ASM2013847v1,Clostridium,perfringens,CPI_57K-1,"28,39","26,65","28,13","26,94",,,,,,,,,,,,,,,,,,,
GCF_020138495.1_ASM2013849v1,Clostridium,perfringens,CPI_53k-r1,"28,43","24,39","26,05","25,63","26,6","25,79","25,66",,,,,,,,,,,,,,,,
GCF_020138555.1_ASM2013855v1,Clostridium,perfringens,C793,"28,3","26,66","25,82",,,,,,,,,,,,,,,,,,,,
GCF_020138575.1_ASM2013857v1,Clostridium,perfringens,C746,"28,28","24,71","26,47",,,,,,,,,,,,,,,,,,,,
GCF_020138595.1_ASM2013859v1,Clostridium,perfringens,721/84,"28,42","25,53","27,23",,,,,,,,,,,,,,,,,,,,
GCF_020138615.1_ASM2013861v1,Clostridium,perfringens,C645,"28,29","28,2","26,66","25,82","23,31",,,,,,,,,,,,,,,,,,
GCF_020138635.1_ASM2013863v1,Clostridium,perfringens,497/86,"28,25","25,63","25,76",,,,,,,,,,,,,,,,,,,,
GCF_020138655.1_ASM2013865v1,Clostridium,perfringens,346/91,"28,25","25,64",,,,,,,,,,,,,,,,,,,,,
GCF_020138675.1_ASM2013867v1,Clostridium,perfringens,318/86,"28,32","24,37",,,,,,,,,,,,,,,,,,,,,
GCF_020138775.1_ASM2013877v1,Clostridium,perfringens,CPI_18-6,"28,45","26,16",,,,,,,,,,,,,,,,,,,,,
GCF_020139215.1_ASM2013921v1,Clostridium,perfringens,149/92,"28,49","26,03","25,54",,,,,,,,,,,,,,,,,,,,
GCF_020139255.1_ASM2013925v1,Clostridium,perfringens,AAD1903a,"28,36","25,95","26,62","26,47",,,,,,,,,,,,,,,,,,,
GCF_020139295.1_ASM2013929v1,Clostridium,perfringens,1293/86,"28,29","24,66","28,17","26,66",,,,,,,,,,,,,,,,,,,
GCF_022429605.1_ASM2242960v1,Clostridium,perfringens,Qinghai-1,"28,58","26,22",,,,,,,,,,,,,,,,,,,,,
GCF_002006175.2_ASM200617v2,Clostridium,roseum,DSM_6424,"29,91","30,18",,,,,,,,,,,,,,,,,,,,,
GCF_002006215.2_ASM200621v2,Clostridium,roseum,DSM_7320,"29,91","30,18","60,61",,,,,,,,,,,,,,,,,,,,
GCF_000340885.1_ASM34088v1,Clostridium,saccharoperbutylacetonicum,N1-4(HMT),"29,54","29,37",,,,,,,,,,,,,,,,,,,,,
