Superkingdom,Clade1,Clade2,Phylum,Class,Order,Family,No rank,Genome_Accession,Genus,Species,Strain,Chromosome,Replicon_1,Replicon_2,Replicon_3,Replicon_4,Replicon_5,Replicon_6,Replicon_7,Replicon_8,Replicon_9,Replicon_10,Replicon_11,Replicon_12,Replicon_13,Replicon_14,Replicon_15,Replicon_16,Replicon_17,Replicon_18,Replicon_19,Replicon_20,Replicon_21,Replicon_22,Total_length
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_022221225.1_ASM2222122v1,Bacillus,anthracis,Pollino_3734,5228919,181766,94812,,,,,,,,,,,,,,,,,,,,,5505497_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_022221245.1_ASM2222124v1,Bacillus,anthracis,A1074,5227949,181708,94813,,,,,,,,,,,,,,,,,,,,,5504470_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_022221265.1_ASM2222126v1,Bacillus,anthracis,A0777,5207027,181743,94809,,,,,,,,,,,,,,,,,,,,,5483579_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_022221285.1_ASM2222128v1,Bacillus,anthracis,SA020,5220564,180766,94764,,,,,,,,,,,,,,,,,,,,,5496094_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_022221305.1_ASM2222130v1,Bacillus,anthracis,AF039,5209654,181890,94760,,,,,,,,,,,,,,,,,,,,,5486304_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_022221325.1_ASM2222132v1,Bacillus,anthracis,A159,5228443,181467,94824,,,,,,,,,,,,,,,,,,,,,5504734_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_022221345.1_ASM2222134v1,Bacillus,anthracis,Vollum,5229859,181772,94893,,,,,,,,,,,,,,,,,,,,,5506524_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_023824055.1_ASM2382405v1,Bacillus,anthracis,CMF9,5324354,296261,62151,49390,,,,,,,,,,,,,,,,,,,,5732156_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_024396775.1_ASM2439677v1,Bacillus,anthracis,CVCC40202,5228934,181710,94722,,,,,,,,,,,,,,,,,,,,,5505366_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_024396795.1_ASM2439679v1,Bacillus,anthracis,CVCC40205,5226424,181633,,,,,,,,,,,,,,,,,,,,,,5408057_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_003595605.1_ASM359560v1,Bacillus,caldolyticus,NEB414,3457580,28002,,,,,,,,,,,,,,,,,,,,,,3485582_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_000635895.2_ASM63589v2,Bacillus,cereus,A1,5352307,300156,70374,11778,,,,,,,,,,,,,,,,,,,,5734615_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_000789315.1_ASM78931v1,Bacillus,cereus,03BB87,5457398,209381,52166,,,,,,,,,,,,,,,,,,,,,5718945_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_000832525.1_ASM83252v1,Bacillus,cereus,FM1,5295158,402605,,,,,,,,,,,,,,,,,,,,,,5697763_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_000832765.1_ASM83276v1,Bacillus,cereus,3a,5270991,312478,51531,7300,,,,,,,,,,,,,,,,,,,,5642300_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_000835185.1_ASM83518v1,Bacillus,cereus,S2-8,5271178,312478,51512,7300,,,,,,,,,,,,,,,,,,,,5642468_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_000978375.1_ASM97837v1,Bacillus,cereus,FORC_005,5349617,,,,,,,,,,,,,,,,,,,,,,,5349617_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_001277915.1_ASM127791v1,Bacillus,cereus,NJ-W,5370032,11744,9032,7703,,,,,,,,,,,,,,,,,,,,5398511_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_001518875.1_ASM151887v1,Bacillus,cereus,FORC_013,5418913,259749,,,,,,,,,,,,,,,,,,,,,,5678662_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_001635915.1_ASM163591v1,Bacillus,cereus,CMCC_P0021,5521782,591110,,,,,,,,,,,,,,,,,,,,,,6112892_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_001635955.1_ASM163595v1,Bacillus,cereus,CMCC_P0011,5506876,591112,,,,,,,,,,,,,,,,,,,,,,6097988_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_001635995.1_ASM163599v1,Bacillus,cereus,HN001,5404176,435420,141238,,,,,,,,,,,,,,,,,,,,,5980834_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_001721145.1_ASM172114v1,Bacillus,cereus,FORC_024,5430118,,,,,,,,,,,,,,,,,,,,,,,5430118_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_001880305.1_ASM188030v1,Bacillus,cereus,AR156,5160326,459971,40712,10789,,,,,,,,,,,,,,,,,,,,5671798_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_001941885.1_ASM194188v1,Bacillus,cereus,ISSFR-9F,5243376,97634,,,,,,,,,,,,,,,,,,,,,,5341010_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_001941905.1_ASM194190v1,Bacillus,cereus,ISSFR-3F,5242668,97731,,,,,,,,,,,,,,,,,,,,,,5340399_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_001941925.1_ASM194192v1,Bacillus,cereus,JEM-2,5229506,94665,,,,,,,,,,,,,,,,,,,,,,5324171_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002000005.1_ASM200000v1,Bacillus,cereus,FORC021,5331694,41600,,,,,,,,,,,,,,,,,,,,,,5373294_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002214705.1_ASM221470v1,Bacillus,cereus,D12_2,5369104,,,,,,,,,,,,,,,,,,,,,,,5369104_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002214725.1_ASM221472v1,Bacillus,cereus,M3,5218997,229356,,,,,,,,,,,,,,,,,,,,,,5448353_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002214765.1_ASM221476v1,Bacillus,cereus,FORC_048,5358595,,,,,,,,,,,,,,,,,,,,,,,5358595_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002215175.1_ASM221517v1,Bacillus,cereus,K8,5329684,319570,71854,,,,,,,,,,,,,,,,,,,,,5721108_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002216125.1_ASM221612v1,Bacillus,cereus,M13,5498820,87088,11745,3088,,,,,,,,,,,,,,,,,,,,5600741_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002220285.1_ASM222028v1,Bacillus,cereus,FORC_047,5365433,257708,213830,,,,,,,,,,,,,,,,,,,,,5836971_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002290105.1_ASM229010v1,Bacillus,cereus,CC-1,5279524,13115,7375,5374,2931,,,,,,,,,,,,,,,,,,,5308319_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002813875.1_ASM281387v1,Bacillus,cereus,MLY1,5561815,158531,124659,102005,,,,,,,,,,,,,,,,,,,,5947010_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_003013315.1_ASM301331v1,Bacillus,cereus,TG1-6,5417196,14697,,,,,,,,,,,,,,,,,,,,,,5431893_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_003020845.1_ASM302084v1,Bacillus,cereus,FORC60,5361178,,,,,,,,,,,,,,,,,,,,,,,5361178_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_003568565.1_ASM356856v1,Bacillus,cereus,HBL-AI,5482892,546185,,,,,,,,,,,,,,,,,,,,,,6029077_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_004006495.1_ASM400649v1,Bacillus,cereus,ZB201708,5466652,,,,,,,,,,,,,,,,,,,,,,,5466652_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_004771155.1_ASM477115v1,Bacillus,cereus,1000305,5330209,,,,,,,,,,,,,,,,,,,,,,,5330209_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_004801195.1_ASM480119v1,Bacillus,cereus,MH19,5247580,,,,,,,,,,,,,,,,,,,,,,,5247580_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_005707595.1_ASM570759v1,Bacillus,cereus,FORC_086,5340498,,,,,,,,,,,,,,,,,,,,,,,5340498_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_006349715.2_ASM634971v2,Bacillus,cereus,A22,5310791,480744,93775,,,,,,,,,,,,,,,,,,,,,5885310_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_006349735.2_ASM634973v2,Bacillus,cereus,A24,5268018,471669,12241,,,,,,,,,,,,,,,,,,,,,5751928_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_006384875.1_ASM638487v1,Bacillus,cereus,FORC087,5271204,512032,80835,68982,,,,,,,,,,,,,,,,,,,,5933053_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_008041975.1_ASM804197v1,Bacillus,cereus,G1-1,5544716,319829,,,,,,,,,,,,,,,,,,,,,,5864545_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_009497015.2_ASM949701v2,Bacillus,cereus,SB1,5461537,584798,280820,13286,6941,,,,,,,,,,,,,,,,,,,6347382_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_009739925.1_ASM973992v1,Bacillus,cereus,DLOU-Changhai,5389366,39799,,,,,,,,,,,,,,,,,,,,,,5429165_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_009739965.1_ASM973996v1,Bacillus,cereus,DLOU-Tangshan,5542157,314420,,,,,,,,,,,,,,,,,,,,,,5856577_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_009739985.1_ASM973998v1,Bacillus,cereus,DLOU-Weihai,5291741,350199,,,,,,,,,,,,,,,,,,,,,,5641940_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_013112375.1_ASM1311237v1,Bacillus,cereus,WPySW2,5328644,421688,,,,,,,,,,,,,,,,,,,,,,5750332_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_013177495.2_ASM1317749v2,Bacillus,cereus,CTMA_1571,5182254,500306,12588,,,,,,,,,,,,,,,,,,,,,5695148_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_013267235.1_ASM1326723v1,Bacillus,cereus,FDAARGOS_802,5342923,282009,238933,85879,61863,42470,9797,4688,,,,,,,,,,,,,,,,6068562_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_013267255.1_ASM1326725v1,Bacillus,cereus,FDAARGOS_799,5381556,480092,328123,,,,,,,,,,,,,,,,,,,,,6189771_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_013267275.1_ASM1326727v1,Bacillus,cereus,FDAARGOS_798,5381410,480092,328123,,,,,,,,,,,,,,,,,,,,,6189625_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_013267455.1_ASM1326745v1,Bacillus,cereus,FDAARGOS_781,5271029,312478,51528,7300,,,,,,,,,,,,,,,,,,,,5642335_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_013267475.1_ASM1326747v1,Bacillus,cereus,FDAARGOS_780,5271040,312478,51531,7300,,,,,,,,,,,,,,,,,,,,5642349_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_013267775.1_ASM1326777v1,Bacillus,cereus,FDAARGOS_797,5413450,211003,,,,,,,,,,,,,,,,,,,,,,5624453_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_013284455.2_ASM1328445v2,Bacillus,cereus,HD2.4,5183312,503267,42073,11143,,,,,,,,,,,,,,,,,,,,5739795_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_013284505.2_ASM1328450v2,Bacillus,cereus,HD1.4B,5183870,503267,42073,11143,,,,,,,,,,,,,,,,,,,,5740353_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_013394245.1_ASM1339424v1,Bacillus,cereus,H2,5494368,104626,52601,,,,,,,,,,,,,,,,,,,,,5651595_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_016027015.1_ASM1602701v1,Bacillus,cereus,FDAARGOS_918,5270035,179678,,,,,,,,,,,,,,,,,,,,,,5449713_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_016727405.1_ASM1672740v1,Bacillus,cereus,FDAARGOS_1084,5323797,,,,,,,,,,,,,,,,,,,,,,,5323797_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_016774535.1_ASM1677453v1,Bacillus,cereus,CH,5507441,591136,,,,,,,,,,,,,,,,,,,,,,6098577_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_016774555.1_ASM1677455v1,Bacillus,cereus,21155,5549424,647739,41955,11091,7806,,,,,,,,,,,,,,,,,,,6258015_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_016774575.1_ASM1677457v1,Bacillus,cereus,AFA01,5367656,454251,9518,9190,3166,,,,,,,,,,,,,,,,,,,5843781_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_016917795.1_ASM1691779v1,Bacillus,cereus,VKM_B-370,5387595,334064,86748,13482,,,,,,,,,,,,,,,,,,,,5821889_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_018309125.1_ASM1830912v1,Bacillus,cereus,BC06,5211756,11661,8247,,,,,,,,,,,,,,,,,,,,,5231664_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_018309145.1_ASM1830914v1,Bacillus,cereus,BC07,5206228,76107,67348,50990,8455,,,,,,,,,,,,,,,,,,,5409128_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_018309165.1_ASM1830916v1,Bacillus,cereus,BC33,5325341,74277,50275,7465,,,,,,,,,,,,,,,,,,,,5457358_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_018884185.1_ASM1888418v1,Bacillus,cereus,CF4-51,5346135,375022,194776,77992,,,,,,,,,,,,,,,,,,,,5993925_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_019704155.2_ASM1970415v2,Bacillus,cereus,HT18,5333415,358139,9518,9190,7215,3166,,,,,,,,,,,,,,,,,,5720643_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_021391515.1_ASM2139151v1,Bacillus,cereus,CPT56D-587-MTF,5668734,448451,99643,83506,83392,72739,70091,15910,5876,,,,,,,,,,,,,,,6548342_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_021442085.1_ASM2144208v1,Bacillus,cereus,NR1,5347477,73187,,,,,,,,,,,,,,,,,,,,,,5420664_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_021654875.1_ASM2165487v1,Bacillus,cereus,MRY14-0045,5373323,296592,,,,,,,,,,,,,,,,,,,,,,5669915_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_021654895.1_ASM2165489v1,Bacillus,cereus,MRY14-0057,5374664,301813,8319,,,,,,,,,,,,,,,,,,,,,5684796_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_021654915.1_ASM2165491v1,Bacillus,cereus,MRY14-0060,5210826,280907,234508,29581,6558,5289,4045,4021,3163,,,,,,,,,,,,,,,5778898_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_021654935.1_ASM2165493v1,Bacillus,cereus,MRY14-0074,5250560,93825,77638,23000,15480,5214,4697,3164,,,,,,,,,,,,,,,,5473578_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_021654975.1_ASM2165497v1,Bacillus,cereus,MRY14-0079,5367909,303476,10097,8319,,,,,,,,,,,,,,,,,,,,5689801_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_021654995.1_ASM2165499v1,Bacillus,cereus,MRY14-0100,5203820,381877,18399,16685,16483,5376,4586,4560,,,,,,,,,,,,,,,,5651786_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_021655015.1_ASM2165501v1,Bacillus,cereus,MRY14-0105,5375661,294808,8315,8313,8227,5049,,,,,,,,,,,,,,,,,,5700373_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_021655035.1_ASM2165503v1,Bacillus,cereus,J1,5348515,327694,24527,22480,8220,5049,,,,,,,,,,,,,,,,,,5736485_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_021655055.1_ASM2165505v1,Bacillus,cereus,J2,5241522,390037,212038,27888,6404,5256,4020,,,,,,,,,,,,,,,,,5887165_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_021655135.1_ASM2165513v1,Bacillus,cereus,J7,5355432,350841,72412,37829,17430,13310,10230,9261,6885,5289,3940,3869,,,,,,,,,,,,5886728_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_021655155.1_ASM2165515v1,Bacillus,cereus,J10,5342104,284675,44856,35290,3453,3089,,,,,,,,,,,,,,,,,,5713467_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_021655175.1_ASM2165517v1,Bacillus,cereus,J39,5344852,324064,8220,5049,,,,,,,,,,,,,,,,,,,,5682185_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_021655195.1_ASM2165519v1,Bacillus,cereus,J51,5350395,324328,64134,22468,8316,8216,5287,5049,,,,,,,,,,,,,,,,5788193_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_021655215.1_ASM2165521v1,Bacillus,cereus,J62,5459613,285224,48659,6561,4632,3940,,,,,,,,,,,,,,,,,,5808629_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_021655235.1_ASM2165523v1,Bacillus,cereus,J75,5329774,324353,8319,8227,5049,,,,,,,,,,,,,,,,,,,5675722_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_021655255.1_ASM2165525v1,Bacillus,cereus,30040,5357266,8319,8228,,,,,,,,,,,,,,,,,,,,,5373813_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_021655275.1_ASM2165527v1,Bacillus,cereus,30043,5356715,8319,8218,,,,,,,,,,,,,,,,,,,,,5373252_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_021655295.1_ASM2165529v1,Bacillus,cereus,30048,5349609,330552,93820,7635,4697,,,,,,,,,,,,,,,,,,,5786313_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_021655315.1_ASM2165531v1,Bacillus,cereus,30052,5269264,327787,262361,76620,8033,8027,4987,4697,,,,,,,,,,,,,,,,5961776_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_021655335.1_ASM2165533v1,Bacillus,cereus,30075,5759674,62286,31192,8319,8229,5049,,,,,,,,,,,,,,,,,,5874749_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_021655355.1_ASM2165535v1,Bacillus,cereus,30077,5358892,245541,53361,8319,8230,,,,,,,,,,,,,,,,,,,5674343_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_022699365.1_ASM2269936v1,Bacillus,cereus,AH7-7,5328700,461035,,,,,,,,,,,,,,,,,,,,,,5789735_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_022700995.1_ASM2270099v1,Bacillus,cereus,N435-1,5424667,463719,254903,79932,,,,,,,,,,,,,,,,,,,,6223221_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_023008425.1_ASM2300842v1,Bacillus,cereus,SEM-15,5259723,537825,265959,54444,13519,,,,,,,,,,,,,,,,,,,6131470_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_023094015.1_ASM2309401v1,Bacillus,cereus,CDHWZ7,5592411,42662,13710,,,,,,,,,,,,,,,,,,,,,5648783_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_023516415.1_ASM2351641v1,Bacillus,cereus,DQ01,5322598,393127,28180,,,,,,,,,,,,,,,,,,,,,5743905_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_024299105.1_ASM2429910v1,Bacillus,cereus,MB1,5327038,411764,39154,,,,,,,,,,,,,,,,,,,,,5777956_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_024498915.1_ASM2449891v1,Bacillus,cereus,GSICC_30237,5390964,54650,12581,11728,,,,,,,,,,,,,,,,,,,,5469923_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,,GCF_003590055.1_ASM359005v1,Paenibacillus,lautus,E7593-69,7128120,226451,,,,,,,,,,,,,,,,,,,,,,7354571_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_001596055.1_ASM159605v1,Bacillus,licheniformis,HRBL-15TDI7,4252398,,,,,,,,,,,,,,,,,,,,,,,4252398_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_001726125.1_ASM172612v1,Bacillus,licheniformis,BL1202,4422181,,,,,,,,,,,,,,,,,,,,,,,4422181_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002074075.1_ASM207407v1,Bacillus,licheniformis,SCK_B11,4300706,,,,,,,,,,,,,,,,,,,,,,,4300706_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002074095.1_ASM207409v1,Bacillus,licheniformis,SCDB_14,4136986,205480,,,,,,,,,,,,,,,,,,,,,,4342466_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002074115.1_ASM207411v1,Bacillus,licheniformis,SCDB_34,4475542,,,,,,,,,,,,,,,,,,,,,,,4475542_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002074135.1_ASM207413v1,Bacillus,licheniformis,SCCB_37,4405338,,,,,,,,,,,,,,,,,,,,,,,4405338_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002173675.1_ASM217367v1,Bacillus,licheniformis,SRCM100141,4544416,205000,75043,,,,,,,,,,,,,,,,,,,,,4824459_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002174255.1_ASM217425v1,Bacillus,licheniformis,SRCM100027,4326347,100616,11529,,,,,,,,,,,,,,,,,,,,,4438492_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002236895.1_ASM223689v1,Bacillus,licheniformis,BL-010,4287720,,,,,,,,,,,,,,,,,,,,,,,4287720_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002504325.1_ASM250432v1,Bacillus,licheniformis,ATCC_9789,4260287,,,,,,,,,,,,,,,,,,,,,,,4260287_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002966955.1_ASM296695v1,Bacillus,licheniformis,14ADL4,4332232,,,,,,,,,,,,,,,,,,,,,,,4332232_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_003253815.1_ASM325381v1,Bacillus,licheniformis,CBA7132,4208157,,,,,,,,,,,,,,,,,,,,,,,4208157_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_003339545.1_ASM333954v1,Bacillus,licheniformis,0DA23-1,4405373,,,,,,,,,,,,,,,,,,,,,,,4405373_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_003595625.1_ASM359562v1,Bacillus,licheniformis,TAB7,4367367,42138,31204,,,,,,,,,,,,,,,,,,,,,4440709_total
Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_003606405.1_ASM360640v1,Bacillus,licheniformis,MT-B06,4440765,49781,,,,,,,,,,,,,,,,,,,,,,4490546_total
