,Superkingdom,Clade1,Clade2,Phylum,Class,Order,Family,No rank,Genome_Accession,Genus,Species,Strain,Chromosome,Replicon_1,Replicon_2,Replicon_3,Replicon_4,Replicon_5,Replicon_6,Replicon_7,Replicon_8,Replicon_9,Replicon_10,Replicon_11,Replicon_12,Replicon_13,Replicon_14,Replicon_15,Replicon_16,Replicon_17,Replicon_18,Replicon_19,Replicon_20,Replicon_21,Replicon_22,Total_length
1470,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_013267315.1_ASM1326731v1,Bacillus,thuringiensis,FDAARGOS_795,5228070,349601.0,82340.0,69863.0,,,,,,,,,,,,,,,,,,,,5729874_total
1471,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_013267335.1_ASM1326733v1,Bacillus,thuringiensis,FDAARGOS_793,5256259,55939.0,1629.0,,,,,,,,,,,,,,,,,,,,,5313827_total
1472,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_013267795.1_ASM1326779v1,Bacillus,thuringiensis,FDAARGOS_794,5214223,56203.0,56203.0,14781.0,7243.0,,,,,,,,,,,,,,,,,,,5348653_total
1474,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_013340745.1_ASM1334074v1,Bacillus,thuringiensis,HER1410,5585577,368179.0,155569.0,38150.0,,,,,,,,,,,,,,,,,,,,6147475_total
1476,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_016070565.1_ASM1607056v1,Bacillus,thuringiensis,H3,5466713,552228.0,180731.0,101260.0,,,,,,,,,,,,,,,,,,,,6300932_total
1477,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_017751245.1_ASM1775124v1,Bacillus,thuringiensis,Bt-GS57,5309747,712902.0,76132.0,72996.0,,,,,,,,,,,,,,,,,,,,6171777_total
1479,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_020809105.1_ASM2080910v1,Bacillus,thuringiensis,ABTS-351,5674619,412032.0,317339.0,82567.0,82294.0,80699.0,76676.0,46634.0,14889.0,14754.0,8513.0,8279.0,7634.0,5120.0,2062.0,,,,,,,,,6834111_total
1482,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_020809165.1_ASM2080916v1,Bacillus,thuringiensis,NB-176,5427105,472823.0,68504.0,43822.0,14853.0,,,,,,,,,,,,,,,,,,,6027107_total
1486,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_021595545.1_ASM2159554v1,Bacillus,thuringiensis,B13,5758378,328200.0,,,,,,,,,,,,,,,,,,,,,,6086578_total
1487,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_021651035.1_ASM2165103v1,Bacillus,thuringiensis,x023,5676811,317343.0,82533.0,30714.0,17016.0,17007.0,17005.0,16990.0,7636.0,7635.0,,,,,,,,,,,,,,6190690_total
1488,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_022816845.1_ASM2281684v1,Bacillus,thuringiensis,LX43,5315749,415642.0,133753.0,50815.0,12583.0,8904.0,8233.0,,,,,,,,,,,,,,,,,5945679_total
1489,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_023824095.1_ASM2382409v1,Bacillus,thuringiensis,KF1,5373585,471554.0,36827.0,5764.0,,,,,,,,,,,,,,,,,,,,5887730_total
1490,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_023921665.1_ASM2392166v1,Bacillus,thuringiensis,IMBL-B9,5620474,365816.0,142486.0,91871.0,62556.0,62016.0,54037.0,47078.0,18509.0,11839.0,10369.0,8553.0,7635.0,7241.0,5535.0,5216.0,,,,,,,,6521231_total
1492,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_013113775.1_ASM1311377v1,Bacillus,thuringiensis,BGSC_4Q7rifR,4865236,235425.0,,,,,,,,,,,,,,,,,,,,,,5100661_total
1493,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_001640965.1_ASM164096v1,Bacillus,thuringiensis,BGSC_4C1,5400819,267609.0,71696.0,57268.0,8291.0,8208.0,4227.0,,,,,,,,,,,,,,,,,5818118_total
1494,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_000940785.1_ASM94078v1,Bacillus,thuringiensis,BGSC_4AA1,5652292,232994.0,92619.0,76979.0,68444.0,51723.0,4845.0,,,,,,,,,,,,,,,,,6179896_total
1495,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_001548175.1_ASM154817v1,Bacillus,thuringiensis,Pasteur_Institute_Standard_strain,5896839,437451.0,293217.0,130548.0,54355.0,23773.0,14827.0,11769.0,7812.0,,,,,,,,,,,,,,,6870591_total
2217,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_000803665.1_ASM80366v1,Bacillus,thuringiensis,HD-29,5701188,426282.0,267359.0,126898.0,71373.0,55460.0,46979.0,14749.0,12866.0,10656.0,8423.0,,,,,,,,,,,,,6742233_total
2917,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_001183785.1_ASM118378v1,Bacillus,thuringiensis,HD521,5429688,314883.0,253580.0,71771.0,71646.0,49838.0,7042.0,,,,,,,,,,,,,,,,,6198448_total
3576,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_000306745.1_ASM30674v1,Bacillus,thuringiensis,407,5500501,501911.0,77895.0,15189.0,8513.0,8240.0,7635.0,6880.0,5518.0,2062.0,,,,,,,,,,,,,,6134344_total
3579,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_000497525.1_ASM49752v2,Bacillus,thuringiensis,YBT-1518,6002284,240661.0,171593.0,146276.0,49195.0,45206.0,17706.0,,,,,,,,,,,,,,,,,6672921_total
3587,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_000193355.1_ASM19335v1,Bacillus,thuringiensis,CT-43,5486830,281231.0,127885.0,83590.0,72074.0,51488.0,14860.0,9547.0,8513.0,8252.0,6880.0,,,,,,,,,,,,,6151150_total
4014,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_000292455.1_ASM29245v1,Bacillus,thuringiensis,HD-771,5886036,171030.0,168999.0,69876.0,65470.0,45262.0,14056.0,9070.0,8574.0,,,,,,,,,,,,,,,6438373_total
4076,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_000338755.1_ASM33875v1,Bacillus,thuringiensis,HD73,5646799,77351.0,76490.0,71777.0,11769.0,8513.0,8241.0,7635.0,,,,,,,,,,,,,,,,5908575_total
4079,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_000341665.1_ASM34166v1,Bacillus,thuringiensis,IS5056,5491935,328151.0,285459.0,233730.0,107431.0,85134.0,68616.0,63864.0,39749.0,16206.0,15185.0,11331.0,9671.0,8251.0,6880.0,,,,,,,,,6771593_total
4213,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_003546665.1_ASM354666v1,Bacillus,thuringiensis,LM1212,5705934,248002.0,157839.0,112709.0,35121.0,28658.0,14193.0,13118.0,4975.0,,,,,,,,,,,,,,,6320549_total
4216,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_001721165.1_ASM172116v1,Bacillus,thuringiensis,Bt18247,5610045,174778.0,130548.0,113275.0,81952.0,15092.0,12509.0,,,,,,,,,,,,,,,,,6138199_total
4249,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_022810725.1_ASM2281072v1,Bacillus,thuringiensis,4AA1,5669783,250486.0,188669.0,77374.0,68504.0,43822.0,14853.0,,,,,,,,,,,,,,,,,6313491_total
3057,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_000008505.1_ASM850v1,Bacillus,thuringiensis],97-27,5237682,77112.0,,,,,,,,,,,,,,,,,,,,,,5314794_total
2878,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_016605985.1_ASM1660598v1,Bacillus,toyonensis,P18,5250895,536892.0,,,,,,,,,,,,,,,,,,,,,,5787787_total
2879,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_018739605.1_ASM1873960v1,Bacillus,toyonensis,BPN45/4,5446351,246340.0,10123.0,,,,,,,,,,,,,,,,,,,,,5702814_total
2880,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_018741125.1_ASM1874112v1,Bacillus,toyonensis,JAS03/3,5281277,354632.0,270706.0,68230.0,11254.0,,,,,,,,,,,,,,,,,,,5986099_total
2881,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_018741525.1_ASM1874152v1,Bacillus,toyonensis,JAS13/1,5360709,439317.0,277802.0,7469.0,,,,,,,,,,,,,,,,,,,,6085297_total
2884,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_018779945.3_ASM1877994v3,Bacillus,toyonensis,HA0190,5235892,284696.0,278089.0,,,,,,,,,,,,,,,,,,,,,5798677_total
4210,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_000496285.1_ASM49628v1,Bacillus,toyonensis,BCT-7112,4940474,76974.0,7971.0,,,,,,,,,,,,,,,,,,,,,5025419_total
4508,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_013331815.1_ASM1333181v1,Bacillus,tropicus,FDAARGOS_782,5263142,34163.0,,,,,,,,,,,,,,,,,,,,,,5297305_total
4509,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_016026855.1_ASM1602685v1,Bacillus,tropicus,FDAARGOS_920,5298747,402813.0,,,,,,,,,,,,,,,,,,,,,,5701560_total
4510,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_016027575.1_ASM1602757v1,Bacillus,tropicus,FDAARGOS_897,5264567,209385.0,190859.0,52166.0,,,,,,,,,,,,,,,,,,,,5716977_total
4511,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_018141085.1_ASM1814108v1,Bacillus,tropicus,LM1212-DB,5631499,241137.0,112715.0,35175.0,14375.0,14195.0,,,,,,,,,,,,,,,,,,6049096_total
4512,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_023159405.1_ASM2315940v1,Bacillus,tropicus,EMB20,5142357,403981.0,181195.0,42302.0,41195.0,9874.0,,,,,,,,,,,,,,,,,,5820904_total
4513,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_023824035.1_ASM2382403v1,Bacillus,tropicus,CK18,5237233,242326.0,87295.0,,,,,,,,,,,,,,,,,,,,,5566854_total
3343,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_000769555.1_ASM76955v1,Bacillus,velezensis,JS25R,4006002,8438.0,,,,,,,,,,,,,,,,,,,,,,4014440_total
3357,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_001857985.1_ASM185798v1,Bacillus,velezensis,9912D,4206167,35409.0,,,,,,,,,,,,,,,,,,,,,,4241576_total
3358,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002005345.1_ASM200534v1,Bacillus,velezensis,GH1-13,4071980,71628.0,,,,,,,,,,,,,,,,,,,,,,4143608_total
3364,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002205715.1_ASM220571v1,Bacillus,velezensis,T20E-257,3893083,6983.0,,,,,,,,,,,,,,,,,,,,,,3900066_total
3365,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002216755.1_ASM221675v1,Bacillus,velezensis,157,4013317,4480.0,2894.0,,,,,,,,,,,,,,,,,,,,,4020691_total
3367,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002238395.1_ASM223839v1,Bacillus,velezensis,NJAU-Z9,3847297,17243.0,8020.0,,,,,,,,,,,,,,,,,,,,,3872560_total
3380,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002893845.1_ASM289384v1,Bacillus,velezensis,10075,4326822,13003.0,,,,,,,,,,,,,,,,,,,,,,4339825_total
3381,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002944585.1_ASM294458v1,Bacillus,velezensis,DKU_NT_04,4166265,143634.0,18288.0,,,,,,,,,,,,,,,,,,,,,4328187_total
3382,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002968415.1_ASM296841v1,Bacillus,velezensis,CGMCC_11640,4322979,62700.0,,,,,,,,,,,,,,,,,,,,,,4385679_total
3401,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_003667745.1_ASM366774v1,Bacillus,velezensis,Bac57,4226250,8648.0,,,,,,,,,,,,,,,,,,,,,,4234898_total
3411,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_004337655.1_ASM433765v1,Bacillus,velezensis,LB002,4027435,29090.0,10592.0,9746.0,,,,,,,,,,,,,,,,,,,,4076863_total
3457,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_014048285.1_ASM1404828v1,Bacillus,velezensis,JSRB_166,4065089,5826.0,,,,,,,,,,,,,,,,,,,,,,4070915_total
3472,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_015732475.1_ASM1573247v1,Bacillus,velezensis,FIO1408,4137639,24472.0,16439.0,,,,,,,,,,,,,,,,,,,,,4178550_total
3474,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_016406185.1_ASM1640618v1,Bacillus,velezensis,Mr12,3920120,81032.0,,,,,,,,,,,,,,,,,,,,,,4001152_total
3481,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_016904925.1_ASM1690492v1,Bacillus,velezensis,Sam8H1,3983519,148194.0,,,,,,,,,,,,,,,,,,,,,,4131713_total
3482,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_017347625.1_ASM1734762v1,Bacillus,velezensis,AD-3,4051059,220131.0,,,,,,,,,,,,,,,,,,,,,,4271190_total
3486,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_018398955.1_ASM1839895v1,Bacillus,velezensis,VTX9,3985800,20007.0,18221.0,12395.0,8565.0,7261.0,,,,,,,,,,,,,,,,,,4052249_total
3487,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_018406485.1_ASM1840648v1,Bacillus,velezensis,KOF112,3916789,13003.0,,,,,,,,,,,,,,,,,,,,,,3929792_total
3494,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_018866365.1_ASM1886636v1,Bacillus,velezensis,GMEKP1,4015700,64075.0,13427.0,,,,,,,,,,,,,,,,,,,,,4093202_total
3497,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_019285615.1_ASM1928561v1,Bacillus,velezensis,LBY-1,4169881,70509.0,31975.0,7410.0,,,,,,,,,,,,,,,,,,,,4279775_total
3505,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_019880485.1_ASM1988048v1,Bacillus,velezensis,BIM_B-454D,4204088,6990.0,6587.0,6117.0,,,,,,,,,,,,,,,,,,,,4223782_total
3507,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_020149525.1_ASM2014952v1,Bacillus,velezensis,DMB05,3262563,806695.0,72020.0,,,,,,,,,,,,,,,,,,,,,4141278_total
3522,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_022370935.1_ASM2237093v1,Bacillus,velezensis,HNU24,3923952,5683.0,3133.0,,,,,,,,,,,,,,,,,,,,,3932768_total
3529,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_022760025.1_ASM2276002v1,Bacillus,velezensis,AP3,3929786,88966.0,,,,,,,,,,,,,,,,,,,,,,4018752_total
3538,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_023546985.1_ASM2354698v1,Bacillus,velezensis,HMB26553,4204437,122487.0,13925.0,,,,,,,,,,,,,,,,,,,,,4340849_total
3548,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_023586825.1_ASM2358682v1,Bacillus,velezensis,V_3.14,3965286,129705.0,63928.0,25112.0,,,,,,,,,,,,,,,,,,,,4184031_total
3552,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_023823715.1_ASM2382371v1,Bacillus,velezensis,CK17,3921806,41539.0,,,,,,,,,,,,,,,,,,,,,,3963345_total
4295,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_001889165.1_ASM188916v1,Bacillus,weihaiensis,Alg07,4344873,16403.0,,,,,,,,,,,,,,,,,,,,,,4361276_total
4440,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_008807735.1_ASM880773v1,Bacillus,wiedmannii,SR52,5448361,137592.0,,,,,,,,,,,,,,,,,,,,,,5585953_total
4441,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_018741285.1_ASM1874128v1,Bacillus,wiedmannii,JAS07/5,5239489,536465.0,79335.0,,,,,,,,,,,,,,,,,,,,,5855289_total
4444,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_022810705.1_ASM2281070v1,Bacillus,wiedmannii,Bt18679,5475878,187728.0,135158.0,94918.0,39783.0,22591.0,15831.0,13042.0,11276.0,4192.0,,,,,,,,,,,,,,6000397_total
3003,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_008932115.1_ASM893211v1,Bradyrhizobium,betae,PL7HG1,7150095,269307.0,,,,,,,,,,,,,,,,,,,,,,7419402_total
4149,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_001549695.1_ASM154969v1,Bradyrhizobium,diazoefficiens,NK6,9780023,212255.0,210438.0,136288.0,136153.0,,,,,,,,,,,,,,,,,,,10475157_total
3213,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_023278185.1_ASM2327818v1,Bradyrhizobium,elkanii,USDA_76,9115474,402731.0,,,,,,,,,,,,,,,,,,,,,,9518205_total
4075,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_012871055.1_ASM1287105v1,Bradyrhizobium,elkanii,USDA_61,9548186,101809.0,,,,,,,,,,,,,,,,,,,,,,9649995_total
4114,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_004114975.1_ASM411497v1,Bradyrhizobium,guangdongense,CCBAU_51649,7456045,981946.0,,,,,,,,,,,,,,,,,,,,,,8437991_total
4123,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_004114915.1_ASM411491v1,Bradyrhizobium,guangxiense,CCBAU_53363,7220948,979173.0,,,,,,,,,,,,,,,,,,,,,,8200121_total
4116,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_004114955.1_ASM411495v1,Bradyrhizobium,guangzhouense,CCBAU_51670,7158886,979291.0,,,,,,,,,,,,,,,,,,,,,,8138177_total
178,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_021052365.1_ASM2105236v1,Bradyrhizobium,japonicum,CC829,9625657,431158.0,335549.0,109937.0,,,,,,,,,,,,,,,,,,,,10502301_total
179,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_023278145.1_ASM2327814v1,Bradyrhizobium,japonicum,S06B-BJ,9745549,572704.0,279984.0,159206.0,,,,,,,,,,,,,,,,,,,,10757443_total
4835,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_013373795.3_ASM1337379v3,Bradyrhizobium,quebecense,,8740742,187265.0,132761.0,111577.0,,,,,,,,,,,,,,,,,,,,9172345_total
4836,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_017493175.3_ASM1749317v3,Bradyrhizobium,quebecense,12S5,8549412,203757.0,,,,,,,,,,,,,,,,,,,,,,8753169_total
4185,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_011516645.4_ASM1151664v4,Bradyrhizobium,septentrionale,1S1,9800371,456902.0,131213.0,22168.0,,,,,,,,,,,,,,,,,,,,10410654_total
4186,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_013373785.3_ASM1337378v3,Bradyrhizobium,septentrionale,,9880762,421054.0,200222.0,177103.0,,,,,,,,,,,,,,,,,,,,10679141_total
3064,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_000015165.1_ASM1516v1,Bradyrhizobium,sp.,BTAi1,8264687,228826.0,,,,,,,,,,,,,,,,,,,,,,8493513_total
4120,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_015291665.1_ASM1529166v1,Bradyrhizobium,sp.,CCBAU_53338,7304317,979291.0,,,,,,,,,,,,,,,,,,,,,,8283608_total
4121,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_015291645.1_ASM1529164v1,Bradyrhizobium,sp.,CCBAU_53340,7737220,979292.0,,,,,,,,,,,,,,,,,,,,,,8716512_total
4187,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_011516665.3_ASM1151666v3,Bradyrhizobium,sp.,41S5,8435486,200964.0,,,,,,,,,,,,,,,,,,,,,,8636450_total
4188,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_011068405.5_ASM1106840v5,Bradyrhizobium,sp.,323S2,10427939,447920.0,294915.0,182079.0,121299.0,,,,,,,,,,,,,,,,,,,11474152_total
4533,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_002831585.1_ASM283158v1,Bradyrhizobium,sp.,SK17,8003090,285478.0,,,,,,,,,,,,,,,,,,,,,,8288568_total
4623,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_009931255.1_ASM993125v1,Bradyrhizobium,sp.,LCT2,9434376,218234.0,,,,,,,,,,,,,,,,,,,,,,9652610_total
4885,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_023101125.1_ASM2310112v1,Bradyrhizobium,sp.,131,7951580,456067.0,,,,,,,,,,,,,,,,,,,,,,8407647_total
4886,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_023101105.1_ASM2310110v1,Bradyrhizobium,sp.,155,7875792,433165.0,234934.0,,,,,,,,,,,,,,,,,,,,,8543891_total
4888,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_023101065.1_ASM2310106v1,Bradyrhizobium,sp.,172,8158300,356376.0,,,,,,,,,,,,,,,,,,,,,,8514676_total
4889,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_023101045.1_ASM2310104v1,Bradyrhizobium,sp.,183,8176129,537575.0,82052.0,,,,,,,,,,,,,,,,,,,,,8795756_total
4891,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_023101685.1_ASM2310168v1,Bradyrhizobium,sp.,186,10413025,359288.0,,,,,,,,,,,,,,,,,,,,,,10772313_total
4892,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_023101005.1_ASM2310100v1,Bradyrhizobium,sp.,187,7737859,620352.0,,,,,,,,,,,,,,,,,,,,,,8358211_total
4895,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_023101665.1_ASM2310166v1,Bradyrhizobium,sp.,195,8314481,601650.0,220947.0,,,,,,,,,,,,,,,,,,,,,9137078_total
4899,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_023100665.1_ASM2310066v1,Bradyrhizobium,sp.,CW1,8282742,380496.0,,,,,,,,,,,,,,,,,,,,,,8663238_total
4935,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_011516635.5_ASM1151663v5,Bradyrhizobium,sp.,1S5,9940904,455818.0,184131.0,,,,,,,,,,,,,,,,,,,,,10580853_total
4945,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_017565685.3_ASM1756568v3,Bradyrhizobium,sp.,38S5,9953276,332092.0,177824.0,66949.0,,,,,,,,,,,,,,,,,,,,10530141_total
4966,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,GCF_017565645.3_ASM1756564v3,Bradyrhizobium,sp.,144S4,10692809,317868.0,248585.0,140264.0,,,,,,,,,,,,,,,,,,,,11399526_total
9,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella/Ochrobactrum group,GCF_000740135.1_ASM74013v1,Brucella,abortus,BDW,2128683,1160817.0,,,,,,,,,,,,,,,,,,,,,,3289500_total
239,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella/Ochrobactrum group,GCF_000742955.1_ASM74295v1,Brucella,anthropi,OAB,2708454,1930134.0,155838.0,106739.0,,,,,,,,,,,,,,,,,,,,4901165_total
